city,date,fare,ride_id
Kimberlyfort,2017-05-27 19:26:30,24.97,8705014382051
Jamesview,2017-07-10 17:17:50,17.49,3410195336483
Bellfort,2017-08-29 14:50:25,34.76,1637834954835
Port Lisaport,2017-01-03 16:25:52,25.87,3267609602623
Rodriguezchester,2017-08-12 14:42:21,17.71,7371930420248
Kingshire,2017-03-26 13:53:45,42.96,8427927518456
Campbellburgh,2017-09-28 21:36:47,24.46,3725817445390
West Mark,2017-06-03 02:53:47,24.24,6078960592563
Michelehaven,2017-08-25 17:41:08,21.88,9456467043912
Garymouth,2017-03-16 04:13:44,6.29,1895885149659
Lisaport,2017-08-22 21:49:49,36.07,3919029752197
Foxfort,2017-11-05 00:52:15,27.93,4664858572698
South Jameshaven,2017-08-27 21:06:39,34.92,0923408644433
Johnsonview,2017-08-01 21:47:20,10.18,9349718141942
Josephmouth,2017-08-27 14:14:41,34.58,2199820040780
Catherineland,2017-04-15 04:21:29,14.83,4990702937444
Port Luke,2017-03-14 15:05:24,6.81,6503787351173
Andrewsborough,2017-06-23 18:27:40,18.81,9340994415352
West Mark,2017-05-07 14:06:41,42.1,5801833799933
West Wendyborough,2017-06-02 22:44:32,32.75,3739805263248
West Sarashire,2017-01-10 10:58:54,35.8,6491997576106
Davidfurt,2017-06-17 09:37:38,23.85,8042138756284
Catherineland,2017-02-02 01:38:44,7.29,4671400791025
West Heatherburgh,2017-07-23 05:50:38,39.22,7943993185480
South Jameshaven,2017-07-12 03:21:13,10.26,6624407281479
Sandersmouth,2017-08-14 23:10:13,41.49,8528637944280
Jamiebury,2017-07-31 08:59:48,27.84,0207893218547
Foxfort,2017-09-14 20:52:44,37.29,0225681245599
Port Jameschester,2017-02-07 05:43:41,43.15,9918949791532
Sandersmouth,2017-11-15 10:41:51,7.46,3755151581522
Kevinmouth,2017-08-06 12:14:07,8.77,5970799626925
Swansonborough,2017-02-27 13:33:30,22.53,4674709202711
Lisaport,2017-08-08 01:24:03,44.86,9422760444039
Stevenmouth,2017-03-18 19:06:30,43.73,8982859677263
Port Luke,2017-11-20 01:43:04,18.4,9397006370390
Paulton,2017-09-06 22:34:16,9.36,1409746937042
North Troy,2017-10-19 18:00:45,9.83,8393952654042
Garymouth,2017-03-01 04:49:36,41.47,9754118917385
South Jameshaven,2017-04-26 13:27:34,23.88,9869589167976
Turnermouth,2017-05-10 06:43:41,15.74,7622139500935
West Mark,2017-07-17 11:17:01,31.23,7526847269415
Davidtown,2017-11-03 14:20:20,18.99,7384295439602
Johnsonmouth,2017-05-27 02:47:29,24.57,2686790776677
East Emily,2017-05-08 02:51:29,7.56,5781931517052
Port Luke,2017-11-24 06:10:42,8.09,1953892086227
North Ashley,2017-05-03 00:31:01,19.86,0211047962897
Stevenmouth,2017-04-26 01:35:34,16.9,6216280509421
East Emily,2017-01-12 17:49:41,4.23,0290298689906
Lisaport,2017-06-20 06:18:14,32.8,4676476402219
East Emily,2017-05-31 04:40:31,38.31,0288933985070
Millerton,2017-07-25 20:25:09,15.52,4942382302654
Stevenmouth,2017-02-13 05:40:24,19.66,1611169718584
Millerton,2017-02-16 00:29:00,24.19,3642785376375
Kingshire,2017-09-19 23:11:06,15.78,9789613381089
Kimberlyfort,2017-05-16 22:27:41,30.09,3710555625852
Kingshire,2017-05-31 14:58:21,38.1,1441124999396
Port Misty,2017-03-14 00:28:56,26.5,5973812964882
Campbellburgh,2017-10-13 17:18:26,12.36,9606702666622
Butlerville,2017-09-30 15:20:21,26.74,4539305619984
Youngberg,2017-03-11 06:06:11,4.6,6917004397811
Millerton,2017-02-07 05:34:18,44.46,7569678394925
Michelehaven,2017-05-09 21:26:23,16.55,1813733459293
South Breanna,2017-11-13 11:21:41,43.23,7070639247766
East Emily,2017-09-26 00:53:21,22.61,6354282372633
Matthewmouth,2017-11-06 23:11:30,9.14,0992778431400
Kevinmouth,2017-02-07 05:09:37,4.37,9835913273309
Sandersmouth,2017-10-09 19:02:46,19.05,5591829669073
Johnsonmouth,2017-10-07 13:43:20,20.21,8275873527240
Rodriguezchester,2017-05-29 19:25:40,16.89,5421703039749
Catherineland,2017-02-06 04:19:51,42.25,1112143356643
Youngberg,2017-08-27 21:34:17,38.95,2624402991179
Davidtown,2017-11-01 21:57:11,26.38,1376565546598
New Judyshire,2017-09-11 12:25:19,44.26,9430779935370
Paulton,2017-06-28 11:19:47,37.38,7945123627778
New Judyshire,2017-11-22 14:07:09,44.55,3725746130190
Butlerville,2017-09-06 13:31:09,41.15,5565993914666
North Ashley,2017-06-20 06:53:15,21.32,0971854794035
Kingshire,2017-10-04 11:27:37,8.78,1248528710424
Butlerville,2017-05-25 22:24:23,21.98,7914287472814
Port Lisaport,2017-01-04 19:20:45,18.82,9580934720966
Foxfort,2017-06-18 21:25:14,30.53,7908852473733
Lake Kennethbury,2017-04-26 14:40:36,25.88,4248505301208
New Melissa,2017-02-09 06:07:41,43.97,9735439696920
Port Roberttown,2017-06-04 00:40:05,27.27,2065346596011
Port Tyler,2017-04-27 13:38:51,31.05,3758462423666
Jamiebury,2017-02-12 20:45:38,34.27,1520292413573
Michaelside,2017-08-21 20:05:57,20.94,7670494171055
Butlerville,2017-06-03 06:16:44,20.14,4583252184774
Sandersmouth,2017-09-20 11:45:50,33.62,6376301615262
Katherinebury,2017-01-01 07:18:08,16.87,2574293760517
South Breanna,2017-10-11 05:20:25,15.91,8876128002187
Port Tyler,2017-10-18 12:45:13,16.89,3835451575572
Duranmouth,2017-03-13 01:45:34,32.76,0648934530004
Catherineland,2017-04-29 11:11:18,43.16,4225793140399
Andrewsborough,2017-01-01 04:31:03,43.54,6962990020229
Duranmouth,2017-10-23 05:15:37,7.91,0036120580313
Katherinebury,2017-04-12 18:45:13,18.4,2859584003093
Foxfort,2017-04-11 06:50:52,15.24,8751878175810
Port Lisaport,2017-08-13 19:16:14,27.41,8037707932237
Foxfort,2017-12-02 13:33:13,25.06,4125028844644
Kimberlyfort,2017-06-29 10:09:57,4.58,7834762573129
South Davidfort,2017-03-01 02:52:28,37.36,1753033295149
Sandersmouth,2017-01-15 05:54:54,5.82,2570485854248
Catherineland,2017-01-23 02:55:03,30.91,1323187891285
West Wendyborough,2017-11-05 08:36:57,17.18,8009725764947
Jamesview,2017-01-19 20:43:18,33.04,8453903407490
Duranmouth,2017-01-11 06:50:27,34.19,9784348359181
Lake Ashleyland,2017-10-18 04:18:10,4.92,4691194281861
Davidfurt,2017-03-07 16:51:53,4.51,8834423121248
Sharonton,2017-07-07 03:40:11,40.59,9815397076474
South Breanna,2017-06-11 19:16:02,40.28,5094022617112
Port Lisaport,2017-09-05 09:31:52,25.3,5002324022268
North Steve,2017-11-15 09:27:08,12.34,0375931751339
Michaelside,2017-01-18 03:13:07,38.4,2288728586879
Burgessside,2017-06-18 03:28:13,17.57,9693964669027
Gailstad,2017-09-02 20:31:23,20.75,1858574074397
Davidtown,2017-03-20 04:15:05,39.53,0397305337932
Matthewmouth,2017-04-27 11:30:32,5.0,7071985971411
Lake Nicholaston,2017-06-28 23:54:23,27.82,9032906052075
New Judyshire,2017-05-26 07:59:24,38.07,4440505843997
Port Tyler,2017-07-01 08:06:05,27.65,9907610528270
East Emily,2017-02-24 14:39:22,37.38,1389271136267
Andrewsborough,2017-06-01 23:14:34,32.79,0138505736411
North Ashley,2017-03-07 14:30:00,15.99,2049635003114
Lisaport,2017-11-17 15:04:36,17.54,1375967303471
Lake Kennethbury,2017-01-23 19:34:06,40.99,8777645470018
Burgessside,2017-01-29 12:23:12,38.34,5255126640028
New Heather,2017-08-13 14:00:29,14.4,9385368412216
Port Misty,2017-06-11 16:54:47,18.6,5649686697941
Michelehaven,2017-02-06 18:23:12,44.74,8656271987308
Burgessside,2017-10-13 04:19:06,9.55,5816483803077
North Troy,2017-08-13 07:27:53,7.98,6994342219739
Butlerville,2017-05-13 05:36:01,10.88,4738117338087
Davidfurt,2017-10-17 19:45:22,31.31,8487300855394
Sandersmouth,2017-07-06 14:22:32,32.36,8347933837320
Michaelside,2017-05-29 04:48:27,14.31,2701949037628
Davidfurt,2017-06-05 21:56:48,39.68,5008508778143
Burgessside,2017-04-09 17:34:57,19.23,9071370203224
Andrewsborough,2017-08-01 15:12:51,6.42,1792716538180
Stevenmouth,2017-11-19 19:31:07,10.67,2762697559862
New Melissa,2017-09-16 19:48:42,29.09,8870279563733
Swansonborough,2017-06-01 12:07:41,18.6,1632563018582
South Jameshaven,2017-03-25 00:45:16,7.23,6828170375995
West Mark,2017-08-27 04:10:12,38.96,9792731506432
Lake Nicholaston,2017-07-14 09:36:46,43.26,0670106374420
New Heather,2017-04-26 13:40:15,21.26,4702421550022
Millerton,2017-11-16 09:10:12,4.19,1353671231440
West Mark,2017-05-18 03:01:57,10.65,2530568334760
Port Luke,2017-11-26 09:52:18,15.91,1268981333145
Johnsonview,2017-09-12 13:39:54,5.29,9684073055733
East Emily,2017-07-17 05:58:20,18.61,7040363938698
East Emily,2017-03-01 09:19:15,25.31,1292663734975
New Judyshire,2017-08-05 08:55:27,11.6,6527411979960
Jamiebury,2017-06-03 15:17:14,26.99,7801833630784
Youngberg,2017-01-12 15:39:52,32.36,9397830103003
Lake Melissaview,2017-10-11 01:15:58,24.7,3443180746400
South Jameshaven,2017-02-18 00:13:05,8.97,1601455591205
Swansonborough,2017-05-09 10:13:36,12.82,6442181596493
Lake Cynthia,2017-11-19 03:15:23,8.1,5049296914276
Michelehaven,2017-04-11 06:41:58,12.41,7532907917172
East Emily,2017-10-22 16:01:24,4.99,1433846138320
Lake Kennethbury,2017-01-05 00:16:04,4.13,8932607107283
Kingshire,2017-05-02 01:08:29,13.82,4276531898294
Josephmouth,2017-01-04 15:54:01,30.66,7814607901317
Ashleyside,2017-11-25 17:02:17,38.52,1404271311763
Johnsonview,2017-10-09 02:36:30,43.17,5955930519731
North Ashley,2017-07-15 20:28:55,34.92,6364171450175
North Ashley,2017-07-28 12:30:37,7.81,3718950845684
Johnsonmouth,2017-04-23 03:16:42,12.47,5907702405858
Lake Cynthia,2017-06-16 06:37:34,19.02,8078084176333
Bellfort,2017-03-19 04:31:37,9.83,0367845149685
Ashleyside,2017-08-25 18:45:34,30.2,5644548647607
Rodriguezchester,2017-02-01 19:54:02,19.61,8463812035134
Josephmouth,2017-04-11 09:36:54,22.37,4300116944394
Lake Melissaview,2017-07-04 16:47:41,14.04,6864473830915
Michelehaven,2017-03-22 07:24:25,23.96,2061261604596
Turnermouth,2017-11-13 09:37:44,41.2,7290092285475
Matthewmouth,2017-06-28 14:19:03,15.45,1130840907005
Kimberlyfort,2017-06-06 15:37:33,22.42,5186621019371
New Danielle,2017-03-16 01:21:27,18.66,2989364256538
East Emily,2017-07-26 19:25:34,13.63,8726145129759
Foxfort,2017-10-03 16:16:54,35.01,1618972434786
Lake Kennethbury,2017-11-16 06:40:05,26.5,9454713374742
Johnsonmouth,2017-02-16 21:36:58,10.4,0094400336166
Michelehaven,2017-11-25 19:02:36,32.92,1526003125568
Port Lisaport,2017-05-12 09:08:54,25.47,3142534897101
North Troy,2017-09-29 14:38:39,43.23,2490367973440
Butlerville,2017-11-04 06:19:45,34.16,0799349881349
Port Jameschester,2017-11-09 00:06:30,35.1,5325953203137
Paulton,2017-06-06 11:03:37,33.93,4435492062568
New Judyshire,2017-07-25 07:26:19,9.61,4878360204958
South Jameshaven,2017-03-04 14:25:45,11.51,3546781065946
Port Roberttown,2017-10-30 02:47:11,17.15,7849736948537
Rodriguezchester,2017-12-07 10:53:47,33.57,7331690519347
Burgessside,2017-10-24 16:07:26,7.49,7299544035200
Sharonton,2017-01-28 20:44:33,43.88,5548121249977
New Heather,2017-07-20 10:05:14,42.06,0913647046235
Ashleyside,2017-09-14 20:32:19,9.77,9891219059689
Turnermouth,2017-04-18 01:37:03,6.48,0885736468276
South Davidfort,2017-09-30 10:56:58,21.92,5481349106380
Youngberg,2017-10-30 01:25:18,16.73,7747358239036
Lake Cynthia,2017-11-30 14:08:46,34.89,6830399787572
Swansonborough,2017-04-27 18:16:02,4.25,3579799690992
Davidtown,2017-02-08 03:41:16,36.67,0778771156287
Swansonborough,2017-01-15 21:21:28,30.47,1269809522765
New Danielle,2017-05-01 20:42:30,9.44,6785163347257
South Davidfort,2017-06-21 10:27:23,25.46,8168034639985
Port Roberttown,2017-09-13 21:22:03,42.81,9412458099955
Matthewmouth,2017-01-14 13:43:51,33.65,4216452544450
Campbellburgh,2017-05-17 23:15:00,32.43,4930633316376
Port Tyler,2017-11-10 02:51:45,41.2,5141845509961
North Steve,2017-01-19 14:39:50,14.56,9668433904732
Port Jameschester,2017-07-26 12:50:18,12.8,7686315296036
East Kellyshire,2017-08-12 15:18:55,4.97,0700167900778
Paulton,2017-08-23 10:16:55,10.88,4387618127388
Davidfurt,2017-04-04 15:42:57,36.52,6906701131484
West Mark,2017-09-22 18:35:04,40.29,2754852301225
East Emily,2017-11-14 01:38:50,27.87,6355498869825
East Lanceshire,2017-09-21 07:35:17,28.12,5558179729451
Dennisborough,2017-02-26 01:32:52,24.51,6893754332985
Port Luke,2017-03-10 14:37:15,9.33,7134857516926
Andrewsborough,2017-09-01 01:34:19,39.26,1778840691762
Catherineland,2017-08-28 03:47:16,37.88,9537595049523
Johnsonmouth,2017-10-24 17:48:02,15.58,5861889156029
Johnsonmouth,2017-04-23 12:19:39,18.71,5895330303960
Burgessside,2017-06-30 07:12:19,42.47,0808397545032
Paulton,2017-02-13 02:02:50,25.71,1583846577022
South Davidfort,2017-10-24 23:45:24,5.31,9805249557206
Lake Melissaview,2017-07-11 13:59:35,12.62,6743028049487
Dennisborough,2017-01-06 09:35:06,42.74,6087872250331
Alexborough,2017-04-02 16:20:33,36.08,5230222573333
New Judyshire,2017-03-20 11:27:20,44.12,7222075878589
Kimberlyfort,2017-05-20 10:19:11,11.7,2072117139988
Michaelside,2017-12-06 12:53:56,10.83,4295338672807
Burgessside,2017-06-04 22:16:27,43.33,5720085776762
Johnsonview,2017-11-17 22:43:23,24.47,3368330604952
West Sarashire,2017-10-07 18:21:30,38.76,6417030840638
Andrewsborough,2017-07-10 14:43:42,26.89,4873233611963
New Melissa,2017-10-20 06:28:26,42.57,1386030242016
Port Luke,2017-05-08 23:11:18,25.09,8859914361729
East Lanceshire,2017-10-16 04:06:15,13.86,9067503147893
Alexborough,2017-01-26 23:49:27,24.52,8350406249254
South Breanna,2017-05-14 14:30:23,27.7,7461266604372
Josephmouth,2017-05-15 13:36:37,38.95,6651575627945
Garymouth,2017-08-24 05:35:07,20.93,8841110340905
Kevinmouth,2017-02-14 00:37:21,12.49,5630267441015
East Kellyshire,2017-02-20 01:04:47,42.76,7194425605483
East Kellyshire,2017-07-24 17:48:09,22.61,8928992013308
West Wendyborough,2017-03-29 14:58:02,13.94,7119967197326
Jamesview,2017-07-26 19:06:41,20.41,9578151068947
Swansonborough,2017-07-18 19:27:46,15.26,4981134323394
Gailstad,2017-01-01 15:57:57,23.87,2735498126045
New Melissa,2017-06-05 08:28:56,4.52,5990068474514
East Lanceshire,2017-04-19 21:31:04,37.57,7108904468278
Port Jameschester,2017-09-08 11:37:48,35.46,3510428172373
East Emily,2017-10-29 14:59:41,42.62,6701097205869
Jamesview,2017-02-02 01:22:04,22.04,9694219880259
West Heatherburgh,2017-02-23 11:06:36,29.54,6598649783209
New Melissa,2017-09-22 18:30:24,10.97,6588733750835
Duranmouth,2017-10-27 00:18:21,26.39,5824658778808
Matthewmouth,2017-09-24 17:53:42,39.79,9655073823578
Lisaport,2017-08-22 05:46:58,14.57,0097910323343
West Mark,2017-07-11 10:18:39,16.3,8650308749242
Port Roberttown,2017-02-08 21:07:16,21.97,8069896956220
South Davidfort,2017-05-08 13:42:56,27.94,5124334542458
Port Lisaport,2017-04-10 01:53:10,8.85,3671049561530
Port Roberttown,2017-08-11 18:35:19,5.71,3494181576435
North Troy,2017-08-25 23:18:26,15.85,5374917800394
North Steve,2017-10-07 10:08:35,17.73,4064188833122
Lake Kennethbury,2017-10-22 23:39:08,42.31,6921526218110
South Jameshaven,2017-08-10 07:24:58,16.2,7774703847318
Port Lisaport,2017-03-20 03:50:36,29.42,9629673621780
North Ashley,2017-01-10 19:51:45,35.58,6078043892511
North Troy,2017-05-09 04:01:37,19.17,4335900853736
West Heatherburgh,2017-04-18 06:58:35,8.54,2187470636293
Garymouth,2017-05-09 06:18:11,33.88,9155641830583
Port Jameschester,2017-07-13 00:24:03,25.6,8951251352634
Jamesview,2017-03-12 01:43:39,12.93,2301569779566
Davidtown,2017-02-04 06:50:52,11.8,0373617843132
South Jameshaven,2017-07-17 16:28:35,9.18,4461733653592
Matthewmouth,2017-02-04 16:22:49,13.55,5378999070188
Duranmouth,2017-03-04 23:09:06,37.47,6809524866451
Rodriguezchester,2017-01-12 05:37:36,14.73,5679421664228
South Davidfort,2017-07-28 00:34:46,32.89,1417126161253
Paulton,2017-05-18 19:33:23,4.68,1416886711036
Port Tyler,2017-03-29 16:57:24,44.04,6626474973004
Katherinebury,2017-07-10 12:07:29,6.13,4913814228699
Lake Nicholaston,2017-01-31 16:05:38,41.52,7205371476024
Port Luke,2017-01-27 13:07:50,6.98,3976369426522
Turnermouth,2017-01-02 22:23:08,23.5,1435632482341
Alexborough,2017-01-05 08:17:56,35.46,7476157243295
Lake Cynthia,2017-03-29 14:07:35,15.61,2673646932998
South Jameshaven,2017-04-03 17:36:25,22.96,8907953153406
West Heatherburgh,2017-04-30 07:12:55,29.17,1111555319208
East Lanceshire,2017-01-08 13:38:26,4.35,6440619573986
North Troy,2017-07-30 12:51:54,39.39,7806005190653
Gailstad,2017-01-22 04:16:45,37.73,6898071419005
Bellfort,2017-06-11 17:16:18,22.98,2638728941657
Catherineland,2017-07-01 05:33:20,11.84,6774492037809
Rodriguezchester,2017-01-28 10:39:49,4.83,4263697032747
Kevinmouth,2017-08-27 23:54:17,10.29,5542413289009
Foxfort,2017-03-21 14:16:46,37.29,8507681992003
Jamesview,2017-08-25 13:43:06,6.93,3649908834910
East Lanceshire,2017-02-23 08:12:58,34.33,5531545158963
Port Lisaport,2017-06-06 17:27:53,16.61,4995015322178
Turnermouth,2017-01-13 12:55:44,18.24,2349794071154
Jamiebury,2017-02-24 05:44:03,6.03,8572744275621
Kingshire,2017-05-01 03:57:24,6.3,6684450884287
Foxfort,2017-08-20 04:27:52,40.7,0233325103693
Lake Nicholaston,2017-07-04 06:12:43,39.21,4658901399103
North Ashley,2017-08-25 03:48:15,5.01,2054931261304
Jamiebury,2017-11-16 22:53:16,40.98,7117215512303
East Kellyshire,2017-11-14 21:16:11,20.15,9258067549715
Rodriguezchester,2017-10-30 12:39:07,31.09,3993261046634
Michaelside,2017-02-17 21:05:33,23.08,1717627526620
Andrewsborough,2017-05-24 06:45:25,40.66,4054523185023
Foxfort,2017-04-02 05:07:28,5.76,1221891050120
